model,bin,n,n_hosts,mean_predicted,observed_rate,gap,predicted_range
selected_process,1,775,494,0.10566057197302998,0.1135483870967742,-0.007887815123744216,0.029-0.151
selected_process,2,774,500,0.18481520309791188,0.2054263565891473,-0.020611153491235407,0.151-0.214
selected_process,3,775,464,0.2432110175726179,0.26064516129032256,-0.01743414371770466,0.214-0.273
selected_process,4,774,415,0.3066926777428761,0.2997416020671835,0.006951075675692642,0.273-0.343
selected_process,5,775,312,0.408506542013577,0.3870967741935484,0.021409767820028625,0.343-0.701
