outer_fold,candidate,roc_auc,average_precision,brier_score
0,logistic,0.5983454285342696,0.3088343061343977,0.19415363881911438
0,random_forest,0.6128216933281312,0.32222070397949953,0.18930787601731486
0,hist_gradient_boosting,0.6010492911952139,0.3240502590070979,0.1961476523714844
0,hist_gradient_boosting_sigmoid,0.5573130446091819,0.30775695816582194,0.19148488158751908
1,logistic,0.5687445785971046,0.2681687709040552,0.18312428071267758
1,random_forest,0.6261769426916811,0.30766123254227473,0.17482402101059155
1,hist_gradient_boosting,0.6207552423255542,0.30278190012719874,0.18274218602515738
1,hist_gradient_boosting_sigmoid,0.6137533777794172,0.29683334224106817,0.1758547751409706
2,logistic,0.6013378473691635,0.2974295602707623,0.18199418106243367
2,random_forest,0.6116036112286642,0.329195866350259,0.17833122204813623
2,hist_gradient_boosting,0.6095943010297644,0.32847401210056965,0.18171424530779806
2,hist_gradient_boosting_sigmoid,0.5841012836789392,0.2997321748087849,0.18049768468592234
3,logistic,0.6030779703999336,0.3115245815540444,0.20182971974502426
3,random_forest,0.623757742994928,0.3376924234307922,0.19351218082370855
3,hist_gradient_boosting,0.6193590463124636,0.3331266381919869,0.20270521497519203
3,hist_gradient_boosting_sigmoid,0.6059475555001247,0.32369634167363204,0.19363310795275665
4,logistic,0.5811261414128659,0.2894561006781234,0.19967375324393358
4,random_forest,0.6139569467917547,0.33793607055265296,0.18850914376774075
4,hist_gradient_boosting,0.6099127458286778,0.325568155489421,0.19672764932586348
4,hist_gradient_boosting_sigmoid,0.5973528353941433,0.3158582365775837,0.18998693576106426
