group,n_listings,median_accommodates,median_beds,median_bathrooms,median_amenities,apartment_share,one_bedroom_share,two_bedroom_share,three_bedroom_share,wifi_share,pool_share,aircon_share,free_parking_share,n_missing_beds,n_missing_bathrooms,scope
At least 30 reviews,981,4,2,1,44,0.939857288481142,0.351681957186544,0.499490316004077,0.148827726809378,0.992864424057085,0.54434250764526,0.81039755351682,0.435270132517839,20,0,"Established standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50"
Fewer than 30 reviews,2892,4,2,1,43,0.931535269709544,0.453665283540802,0.440525587828492,0.105809128630705,0.970954356846473,0.424273858921162,0.742047026279392,0.43118948824343,105,0,"Established standard entire homes, 1-3 bedrooms, price AUD30-1500; non-benchmark hosts; final segment n>=50"
