fold,roc_auc_segment_rate,average_precision_segment_rate,brier_score_segment_rate,roc_auc_model,average_precision_model,brier_score_model,roc_auc_difference,average_precision_difference,brier_score_difference,scenario,model,baseline_comparison_note
0,0.6838956565380053,0.326769850583859,0.1608048492033303,0.6515535176567204,0.30882384041993693,0.1653667259018412,-0.0323421388812849,-0.017946010163922055,0.004561876698510908,property_only,logistic,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
1,0.5721191335490949,0.3741565654035447,0.22246639026961437,0.5676612864270286,0.35058417819894827,0.22654833865223897,-0.004457847122066316,-0.023572387204596423,0.004081948382624601,property_only,logistic,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
2,0.6816626977307507,0.4277818865109586,0.20325991816008396,0.6080000654669842,0.3839903055315558,0.20650892287985279,-0.07366263226376657,-0.04379158097940283,0.0032490047197688277,property_only,logistic,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
3,0.5468012022327179,0.21210586176531954,0.16265702272463953,0.5441534277944755,0.20983303468697873,0.16154257883080655,-0.0026477744382423785,-0.002272827078340811,-0.0011144438938329726,property_only,logistic,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
4,0.5618031541867303,0.2560853366953991,0.18098597437690034,0.5698986846782794,0.2611204032692066,0.1793317622823394,0.008095530491549097,0.0050350665738074785,-0.0016542120945609307,property_only,logistic,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
0,0.6838956565380053,0.326769850583859,0.1608048492033303,0.6435863217446848,0.32433056133499705,0.16533661645147527,-0.04030933479332055,-0.002439289248861942,0.004531767248144969,property_only,random_forest,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
1,0.5721191335490949,0.3741565654035447,0.22246639026961437,0.5444232056475264,0.3335860794895755,0.2338451107103071,-0.027695927901568496,-0.04057048591396917,0.011378720440692741,property_only,random_forest,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
2,0.6816626977307507,0.4277818865109586,0.20325991816008396,0.590921365968625,0.3562576552736392,0.20920293749084823,-0.09074133176212573,-0.07152423123731944,0.005943019330764271,property_only,random_forest,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
3,0.5468012022327179,0.21210586176531954,0.16265702272463953,0.5301929774342827,0.20596263467698248,0.16509563421513718,-0.016608224798435156,-0.006143227088337061,0.0024386114904976497,property_only,random_forest,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
4,0.5618031541867303,0.2560853366953991,0.18098597437690034,0.5738696958924474,0.2644996766051324,0.17964469837792987,0.012066541705717082,0.008414339909733282,-0.0013412759989704648,property_only,random_forest,Paired descriptive differences on the same validation rows and folds; these are not significance tests.
