outer_fold,n_test,n_test_hosts,selected_candidate,inner_brier_of_selected,selected_roc_auc,selected_average_precision,selected_brier_score,baseline_roc_auc,baseline_average_precision,baseline_brier_score,auc_difference,average_precision_difference,brier_difference
0,718,331,random_forest,0.18930787601731486,0.6995905192079569,0.38272508571494074,0.15776189208056857,0.6838956565380053,0.326769850583859,0.1608048492033303,0.01569486266995157,0.05595523513108175,-0.0030429571227617302
1,814,376,random_forest,0.17482402101059155,0.5979587752651591,0.4117199510624033,0.2214990179274533,0.5721191335490949,0.3741565654035447,0.22246639026961437,0.02583964171606412,0.037563385658858583,-0.0009673723421610714
2,760,329,random_forest,0.17833122204813623,0.7209756217317655,0.45242474040586,0.1924556268934679,0.6816626977307507,0.4277818865109586,0.20325991816008396,0.039312924001014826,0.024642853894901395,-0.010804291266616056
3,749,332,random_forest,0.19351218082370855,0.5936799293926817,0.25896629091015577,0.15555451206468185,0.5468012022327179,0.21210586176531954,0.16265702272463953,0.04687872715996377,0.046860429144836235,-0.007102510659957678
4,832,358,random_forest,0.18850914376774075,0.6153007142164626,0.304046712119196,0.17534473793073377,0.5618031541867303,0.2560853366953991,0.18098597437690034,0.05349756002973227,0.04796137542379686,-0.00564123644616657
