lga,broad_class,bedrooms,n_listings,n_hosts,n_meeting_target,n_zero_reviews,observed_target_rate,reviews_p75,stage,eligible_n50,rank_observed_rate,review_target,broad_class_definition,shared_scope
Manningham,Other entire-home types,2,1,1,0,0,0,8,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Manningham,Other entire-home types,3,9,7,0,3,0,8,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maribyrnong,Apartment-like,3,4,4,0,0,0,17.5,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maribyrnong,Other entire-home types,1,5,5,0,1,0,11,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maroondah,Apartment-like,2,1,1,0,0,0,8,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maroondah,Other entire-home types,1,2,1,0,0,0,22.75,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maroondah,Other entire-home types,3,11,10,0,1,0,18,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Melbourne,Other entire-home types,1,8,8,0,1,0,14.75,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Melton,Apartment-like,2,2,2,0,1,0,14.25,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Melton,Apartment-like,3,1,1,0,0,0,8,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Melton,Other entire-home types,2,2,2,0,0,0,22,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Melton,Other entire-home types,3,14,14,0,0,0,10.25,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Merri-bek,Apartment-like,3,3,2,0,0,0,13.5,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Monash,Apartment-like,1,11,10,0,2,0,10,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Monash,Apartment-like,3,2,2,0,0,0,8.75,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Moonee Valley,Apartment-like,3,3,3,0,0,0,19,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Moonee Valley,Other entire-home types,1,1,1,0,0,0,4,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Moonee Valley,Other entire-home types,2,12,12,0,1,0,13.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Stonnington,Other entire-home types,1,2,2,0,0,0,10.75,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Whitehorse,Apartment-like,3,6,6,0,1,0,17.75,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Whitehorse,Other entire-home types,1,9,7,0,1,0,8,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Whitehorse,Other entire-home types,2,5,5,0,1,0,7,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Whittlesea,Apartment-like,1,2,2,0,0,0,10.75,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Whittlesea,Apartment-like,2,2,2,0,0,0,17,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Whittlesea,Other entire-home types,2,5,5,0,0,0,28,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Whittlesea,Other entire-home types,3,9,8,0,1,0,5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Wyndham,Apartment-like,1,2,2,0,0,0,14.25,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Wyndham,Apartment-like,2,4,4,0,1,0,17.75,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Wyndham,Other entire-home types,1,2,2,0,0,0,14.75,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Manningham,Apartment-like,1,1,1,1,0,1,55,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Casey,Other entire-home types,1,9,8,6,0,0.666666666666667,47,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Darebin,Apartment-like,3,5,3,3,0,0.6,34,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maroondah,Apartment-like,1,2,2,1,0,0.5,38.75,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra Ranges,Apartment-like,3,2,2,1,1,0.5,43.5,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra,Other entire-home types,1,35,32,16,3,0.457142857142857,44,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Nillumbik,Other entire-home types,2,11,9,5,0,0.454545454545455,40,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Moonee Valley,Other entire-home types,1,7,7,3,0,0.428571428571429,32,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Merri-bek,Other entire-home types,1,23,23,9,0,0.391304347826087,40.5,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Brimbank,Other entire-home types,1,8,6,3,0,0.375,35.5,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Melbourne,Apartment-like,3,315,145,113,14,0.358730158730159,34.5,Before four-type whitelist,TRUE,1,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Cardinia,Apartment-like,2,3,3,1,0,0.333333333333333,34,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Casey,Other entire-home types,2,3,3,1,0,0.333333333333333,21,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Port Phillip,Other entire-home types,1,24,24,8,2,0.333333333333333,34.25,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra Ranges,Other entire-home types,1,201,147,65,14,0.323383084577114,37,Before four-type whitelist,TRUE,2,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Melbourne,Apartment-like,2,1280,508,409,126,0.31953125,36,Before four-type whitelist,TRUE,3,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Nillumbik,Other entire-home types,1,20,19,6,1,0.3,47.25,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Brimbank,Apartment-like,1,7,5,2,0,0.285714285714286,22,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Manningham,Other entire-home types,1,7,7,2,1,0.285714285714286,28.5,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra Ranges,Other entire-home types,3,113,95,31,4,0.274336283185841,30,Before four-type whitelist,TRUE,4,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maroondah,Other entire-home types,1,11,8,3,0,0.272727272727273,31.5,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Whittlesea,Other entire-home types,2,11,8,3,0,0.272727272727273,30.5,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Hume,Other entire-home types,2,15,11,4,0,0.266666666666667,31,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Brimbank,Apartment-like,2,4,2,1,1,0.25,19.25,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Darebin,Other entire-home types,1,24,23,6,1,0.25,26.25,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Hume,Other entire-home types,1,8,8,2,1,0.25,33,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Melton,Apartment-like,1,4,2,1,1,0.25,12,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Melton,Other entire-home types,1,8,5,2,3,0.25,23.5,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Melbourne,Apartment-like,1,1003,467,249,89,0.248255234297109,29,Before four-type whitelist,TRUE,5,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maribyrnong,Apartment-like,2,33,29,8,4,0.242424242424242,27,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Melbourne,Other entire-home types,2,17,17,4,3,0.235294117647059,28,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Hobsons Bay,Other entire-home types,1,13,13,3,2,0.230769230769231,27,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Kingston,Other entire-home types,1,13,13,3,0,0.230769230769231,26,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra,Apartment-like,1,192,146,44,14,0.229166666666667,28.25,Before four-type whitelist,TRUE,6,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra,Other entire-home types,2,62,59,14,7,0.225806451612903,27.75,Before four-type whitelist,TRUE,7,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Stonnington,Apartment-like,3,9,8,2,0,0.222222222222222,15,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Knox,Other entire-home types,1,14,13,3,2,0.214285714285714,24.75,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Hume,Other entire-home types,3,19,18,4,0,0.210526315789474,27.5,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Merri-bek,Apartment-like,1,58,51,12,5,0.206896551724138,24.75,Before four-type whitelist,TRUE,8,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra Ranges,Apartment-like,1,34,20,7,4,0.205882352941176,23.5,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Boroondara,Apartment-like,3,5,5,1,1,0.2,21,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Manningham,Other entire-home types,2,5,5,1,0,0.2,29,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra Ranges,Other entire-home types,2,105,86,21,7,0.2,24,Before four-type whitelist,TRUE,9,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra,Other entire-home types,3,41,36,8,6,0.195121951219512,24,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Merri-bek,Apartment-like,2,36,33,7,3,0.194444444444444,27.25,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maribyrnong,Other entire-home types,1,11,10,2,1,0.181818181818182,25,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra,Apartment-like,3,22,19,4,1,0.181818181818182,23.75,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Port Phillip,Apartment-like,2,231,180,39,25,0.168831168831169,23,Before four-type whitelist,TRUE,10,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Frankston,Other entire-home types,2,18,17,3,2,0.166666666666667,23.75,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Greater Dandenong,Other entire-home types,2,6,4,1,0,0.166666666666667,26.25,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Hobsons Bay,Other entire-home types,2,12,11,2,0,0.166666666666667,28.25,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maroondah,Other entire-home types,2,12,10,2,1,0.166666666666667,25,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Monash,Other entire-home types,2,12,11,2,1,0.166666666666667,20.25,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Nillumbik,Other entire-home types,3,6,6,1,0,0.166666666666667,24.75,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Stonnington,Other entire-home types,1,6,6,1,0,0.166666666666667,17,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Wyndham,Other entire-home types,1,6,6,1,0,0.166666666666667,19.5,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Wyndham,Other entire-home types,2,6,6,1,2,0.166666666666667,12.5,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Merri-bek,Other entire-home types,2,37,33,6,7,0.162162162162162,25,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Whitehorse,Other entire-home types,1,19,15,3,1,0.157894736842105,16.5,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra,Apartment-like,2,109,87,17,9,0.155963302752294,25,Before four-type whitelist,TRUE,11,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Melbourne,Other entire-home types,3,13,13,2,1,0.153846153846154,19,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Stonnington,Apartment-like,1,194,135,28,17,0.144329896907216,20,Before four-type whitelist,TRUE,12,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Cardinia,Other entire-home types,2,14,13,2,1,0.142857142857143,24.75,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Cardinia,Other entire-home types,3,14,14,2,1,0.142857142857143,20.5,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Darebin,Apartment-like,1,28,24,4,9,0.142857142857143,19.25,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra Ranges,Apartment-like,2,14,12,2,2,0.142857142857143,20.5,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Port Phillip,Other entire-home types,3,58,45,8,8,0.137931034482759,18,Before four-type whitelist,TRUE,13,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Whitehorse,Apartment-like,1,22,13,3,5,0.136363636363636,11.75,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Kingston,Apartment-like,1,15,14,2,2,0.133333333333333,23.5,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Kingston,Other entire-home types,3,23,20,3,6,0.130434782608696,22,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maribyrnong,Other entire-home types,2,31,28,4,4,0.129032258064516,18.5,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Port Phillip,Apartment-like,3,31,27,4,2,0.129032258064516,21,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Banyule,Apartment-like,1,8,6,1,0,0.125,15.75,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Boroondara,Apartment-like,1,32,24,4,3,0.125,18,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Boroondara,Other entire-home types,2,16,15,2,1,0.125,23.75,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maribyrnong,Apartment-like,1,24,21,3,2,0.125,20.5,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Moonee Valley,Apartment-like,2,24,24,3,2,0.125,24,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Merri-bek,Other entire-home types,3,25,23,3,3,0.12,21,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Port Phillip,Other entire-home types,2,50,49,6,12,0.12,13.5,Before four-type whitelist,TRUE,14,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Port Phillip,Apartment-like,1,327,260,39,50,0.119266055045872,19.5,Before four-type whitelist,TRUE,15,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Bayside,Other entire-home types,1,17,17,2,3,0.117647058823529,23,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Moonee Valley,Apartment-like,1,17,17,2,4,0.117647058823529,17,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Banyule,Other entire-home types,1,9,9,1,0,0.111111111111111,16,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Boroondara,Other entire-home types,3,18,17,2,2,0.111111111111111,22,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Monash,Apartment-like,2,36,30,4,2,0.111111111111111,20.25,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Stonnington,Other entire-home types,3,36,33,4,4,0.111111111111111,18.25,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Casey,Other entire-home types,3,19,16,2,1,0.105263157894737,16.5,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Frankston,Other entire-home types,3,19,19,2,1,0.105263157894737,12,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Moonee Valley,Other entire-home types,3,19,18,2,3,0.105263157894737,12,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Whitehorse,Other entire-home types,3,19,19,2,3,0.105263157894737,20,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Banyule,Apartment-like,2,10,9,1,1,0.1,23,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Cardinia,Other entire-home types,1,20,19,2,4,0.1,18.5,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Darebin,Other entire-home types,2,20,17,2,3,0.1,13,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Kingston,Other entire-home types,2,20,15,2,1,0.1,12.5,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Manningham,Apartment-like,2,10,9,1,0,0.1,15.75,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maribyrnong,Other entire-home types,3,31,19,3,4,0.0967741935483871,22,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Glen Eira,Apartment-like,2,42,27,4,1,0.0952380952380952,17.25,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Boroondara,Apartment-like,2,33,31,3,4,0.0909090909090909,22,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Frankston,Apartment-like,1,11,8,1,2,0.0909090909090909,19.5,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Glen Eira,Apartment-like,1,22,21,2,2,0.0909090909090909,11,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Hobsons Bay,Apartment-like,1,23,13,2,5,0.0869565217391304,17,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Stonnington,Other entire-home types,2,23,23,2,2,0.0869565217391304,24,Before four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Monash,Apartment-like,1,12,11,1,2,0.0833333333333333,10.25,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Stonnington,Apartment-like,2,100,79,8,19,0.08,17,Before four-type whitelist,TRUE,16,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Bayside,Apartment-like,1,26,22,2,3,0.0769230769230769,13,Before four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
