lga,broad_class,bedrooms,n_listings,n_hosts,n_meeting_target,n_zero_reviews,observed_target_rate,reviews_p75,stage,eligible_n50,rank_observed_rate,review_target,broad_class_definition,shared_scope
Maribyrnong,Apartment-like,2,32,28,8,4,0.25,27.75,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Melton,Apartment-like,1,4,2,1,1,0.25,12,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra,Other entire-home types,2,60,58,14,7,0.233333333333333,28.25,After four-type whitelist,TRUE,5,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Merri-bek,Other entire-home types,2,26,26,6,7,0.230769230769231,26.75,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Stonnington,Apartment-like,3,9,8,2,0,0.222222222222222,15,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra,Apartment-like,1,177,136,39,11,0.220338983050847,27,After four-type whitelist,TRUE,6,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra Ranges,Other entire-home types,2,51,39,11,1,0.215686274509804,26,After four-type whitelist,TRUE,7,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Hume,Other entire-home types,3,19,18,4,0,0.210526315789474,27.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Hobsons Bay,Other entire-home types,2,10,9,2,0,0.2,28.75,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Port Phillip,Other entire-home types,1,10,10,2,0,0.2,25.25,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra,Other entire-home types,3,40,35,8,5,0.2,24.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Merri-bek,Apartment-like,2,32,32,6,3,0.1875,27.25,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Darebin,Apartment-like,1,22,21,4,7,0.181818181818182,19.75,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Maroondah,Other entire-home types,2,11,9,2,1,0.181818181818182,26,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Port Phillip,Apartment-like,2,219,171,37,25,0.168949771689498,23,After four-type whitelist,TRUE,8,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Merri-bek,Apartment-like,1,54,48,9,5,0.166666666666667,22,After four-type whitelist,TRUE,9,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Monash,Other entire-home types,2,6,6,1,1,0.166666666666667,22.5,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Nillumbik,Other entire-home types,3,6,6,1,0,0.166666666666667,24.75,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Melbourne,Other entire-home types,3,13,13,2,1,0.153846153846154,19,After four-type whitelist,FALSE,,30,Every other entire-home property type,"Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
Yarra,Apartment-like,3,20,17,3,1,0.15,23.25,After four-type whitelist,FALSE,,30,"Entire rental unit, condo, serviced apartment or loft","Established history, price AUD30-1500, non-benchmark hosts; n>=50 recomputed by stage"
