dwelling_class,bedrooms,n_listings,n_hosts,n_at_least_22,n_zero_reviews,reviews_p25,reviews_median,reviews_p75,reviews_p90,observed_rate_22,ci90_lo,ci90_hi,scope,review_threshold,interval_method
Apartment/unit,1,3231,1743,778,523,2,9,21,37,0.240792324357784,0.217031490532798,0.268558393131566,"Main eligible segments pooled by class and bedrooms; Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%"
Apartment/unit,2,4017,1818,1099,617,2,9,23,41,0.273587254169778,0.243116608610892,0.306530276528155,"Main eligible segments pooled by class and bedrooms; Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%"
Apartment/unit,3,599,279,227,59,4,14,30,56.4000000000001,0.378964941569282,0.315035706284306,0.44428547523427,"Main eligible segments pooled by class and bedrooms; Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%"
House/townhouse,2,372,331,87,67,1,8,20.25,36,0.233870967741935,0.196335078534031,0.270658418724717,"Main eligible segments pooled by class and bedrooms; Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%"
House/townhouse,3,748,585,124,162,1,5,14.25,29,0.165775401069519,0.140762989707835,0.191246309527729,"Main eligible segments pooled by class and bedrooms; Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%"
