rank,neighbourhood_cleansed,configuration,n,n_hosts,positive_n,observed_review_target_share,mean_oof_probability,median_oof_probability,conditional_bootstrap_lower_95,conditional_bootstrap_upper_95,fewer_than_10_positive_listings,fewer_than_10_hosts,scenario,model
8,Yarra,2BR Apartment/unit,102,81,15,0.14705882352941177,0.19849151446272614,0.18464101908123132,0.18390826554960166,0.21451155647260586,False,False,extended_property_only,hist_gradient_boosting
9,Merri-bek,1BR Apartment/unit,54,48,9,0.16666666666666666,0.18081178514933285,0.17578129066887577,0.16521949627682309,0.19982209696893125,True,False,extended_property_only,hist_gradient_boosting
10,Port Phillip,3BR House/townhouse,56,43,7,0.125,0.14170724026523512,0.13139751000071453,0.1181438476819803,0.15919642851603166,True,False,extended_property_only,hist_gradient_boosting
11,Port Phillip,1BR Apartment/unit,305,249,35,0.11475409836065574,0.1337451059992652,0.12033116158382527,0.12366437972864384,0.14356747972872083,False,False,extended_property_only,hist_gradient_boosting
12,Port Phillip,2BR Apartment/unit,219,171,37,0.1689497716894977,0.13174710261993167,0.11875811531652954,0.12169863409876572,0.14223249990161294,False,False,extended_property_only,hist_gradient_boosting
13,Stonnington,1BR Apartment/unit,185,132,25,0.13513513513513514,0.11837580308184951,0.10842204096292798,0.11175041798425271,0.1254226302863342,False,False,extended_property_only,hist_gradient_boosting
14,Stonnington,2BR Apartment/unit,97,77,8,0.08247422680412371,0.10982057585817113,0.09189486325857374,0.09847439775401863,0.12225531703518429,True,False,extended_property_only,hist_gradient_boosting
1,Melbourne,3BR Apartment/unit,306,139,112,0.3660130718954248,0.29439822578501373,0.28562007695315583,0.27966247942411626,0.30722180749479344,False,False,extended_property_only,hist_gradient_boosting_sigmoid
2,Melbourne,2BR Apartment/unit,1235,482,405,0.32793522267206476,0.2804928087242179,0.277018185797597,0.27050381837248866,0.2901038226962135,False,False,extended_property_only,hist_gradient_boosting_sigmoid
3,Yarra Ranges,3BR House/townhouse,90,77,27,0.3,0.25747429820773654,0.2659578280547897,0.2424759945015471,0.27074578401468574,False,False,extended_property_only,hist_gradient_boosting_sigmoid
4,Melbourne,1BR Apartment/unit,936,435,237,0.2532051282051282,0.25619881878076606,0.25180796846719067,0.2491552780670411,0.26318229872088794,False,False,extended_property_only,hist_gradient_boosting_sigmoid
5,Yarra,2BR House/townhouse,60,58,14,0.23333333333333334,0.24560388684657272,0.24452507536434376,0.234428505775436,0.2555689222343784,False,False,extended_property_only,hist_gradient_boosting_sigmoid
6,Yarra,1BR Apartment/unit,177,136,39,0.22033898305084745,0.23482629845069664,0.23375011794135894,0.22824729269522195,0.24224594440390876,False,False,extended_property_only,hist_gradient_boosting_sigmoid
7,Yarra Ranges,2BR House/townhouse,51,39,11,0.21568627450980393,0.2312791739603751,0.2390531163890678,0.21301860597349911,0.25118178976932387,False,False,extended_property_only,hist_gradient_boosting_sigmoid
8,Yarra,2BR Apartment/unit,102,81,15,0.14705882352941177,0.23111943627635623,0.22531663371366475,0.22376574638312813,0.23932652380329125,False,False,extended_property_only,hist_gradient_boosting_sigmoid
9,Merri-bek,1BR Apartment/unit,54,48,9,0.16666666666666666,0.22028357528123965,0.2196429777032143,0.21006618639941302,0.2317124049244123,True,False,extended_property_only,hist_gradient_boosting_sigmoid
10,Port Phillip,3BR House/townhouse,56,43,7,0.125,0.20044206940366235,0.19700532163068274,0.1837600018630961,0.2112093618231073,True,False,extended_property_only,hist_gradient_boosting_sigmoid
11,Port Phillip,1BR Apartment/unit,305,249,35,0.11475409836065574,0.19383210597509037,0.18943510094896937,0.1869936535479953,0.19973897806346774,False,False,extended_property_only,hist_gradient_boosting_sigmoid
12,Port Phillip,2BR Apartment/unit,219,171,37,0.1689497716894977,0.19072614820423664,0.18852270119230824,0.18422899235691526,0.1974572567269424,False,False,extended_property_only,hist_gradient_boosting_sigmoid
13,Stonnington,1BR Apartment/unit,185,132,25,0.13513513513513514,0.18423196941451658,0.18066894725035335,0.17893878835422525,0.18973389423392945,False,False,extended_property_only,hist_gradient_boosting_sigmoid
14,Stonnington,2BR Apartment/unit,97,77,8,0.08247422680412371,0.17995583309505497,0.17325850053879865,0.17103462399326055,0.18887631803394042,True,False,extended_property_only,hist_gradient_boosting_sigmoid
1,Melbourne,3BR Apartment/unit,306,139,112,0.3660130718954248,0.3345636873801412,0.2969377330960692,0.2961945812806108,0.3744367476203482,False,False,extended_operating_controls,hist_gradient_boosting
2,Melbourne,2BR Apartment/unit,1235,482,405,0.32793522267206476,0.3218346420289479,0.293544454141012,0.2961542953523593,0.34645614147296827,False,False,extended_operating_controls,hist_gradient_boosting
3,Melbourne,1BR Apartment/unit,936,435,237,0.2532051282051282,0.26571279665932035,0.21725855851663559,0.24182285395317296,0.29446646943606436,False,False,extended_operating_controls,hist_gradient_boosting
4,Yarra Ranges,3BR House/townhouse,90,77,27,0.3,0.2459919632718516,0.22750646361558347,0.21664763634617723,0.2796450832943665,False,False,extended_operating_controls,hist_gradient_boosting
5,Yarra,1BR Apartment/unit,177,136,39,0.22033898305084745,0.23155354365869033,0.19901467494537484,0.20379082506092366,0.2555907597590816,False,False,extended_operating_controls,hist_gradient_boosting
6,Yarra Ranges,2BR House/townhouse,51,39,11,0.21568627450980393,0.20560601745708407,0.1578667932953372,0.17046663708905946,0.2540023971404082,False,False,extended_operating_controls,hist_gradient_boosting
7,Merri-bek,1BR Apartment/unit,54,48,9,0.16666666666666666,0.19443286901519036,0.16178709590559742,0.16024088704183656,0.23129376950679323,True,False,extended_operating_controls,hist_gradient_boosting
8,Yarra,2BR House/townhouse,60,58,14,0.23333333333333334,0.1820326234920316,0.1097084875503041,0.14019007036054995,0.2278498429183656,False,False,extended_operating_controls,hist_gradient_boosting
9,Yarra,2BR Apartment/unit,102,81,15,0.14705882352941177,0.18010293194722202,0.12667458814050164,0.15238976516103458,0.21665646327444005,False,False,extended_operating_controls,hist_gradient_boosting
