lga,dwelling_class,bedrooms,n_listings,n_hosts,n_at_least_22,n_zero_reviews,reviews_p25,reviews_median,reviews_p75,reviews_p90,observed_rate_22,ci90_lo,ci90_hi,scope,review_threshold,interval_method,rank_observed_rate,rank_within_bedrooms
Melbourne,Apartment/unit,3,543,249,216,53,4,15,31,60.8,0.397790055248619,0.325651162534718,0.46573165599876,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",1,1
Yarra Ranges,House/townhouse,3,137,116,49,16,3,12,29,40,0.357664233576642,0.287543699650403,0.4375,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",2,2
Maribyrnong,House/townhouse,3,53,39,12,7,3,8,17,30,0.226415094339623,0.137254901960784,0.333333333333333,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",10,3
Yarra,House/townhouse,3,87,76,18,19,1,7,17.5,33,0.206896551724138,0.137852664576803,0.282352941176471,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",13,4
Port Phillip,Apartment/unit,3,56,43,11,6,3,8,18,27.5,0.196428571428571,0.109090909090909,0.298427672955975,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",14,5
Port Phillip,House/townhouse,3,123,95,17,34,0,3,13,26,0.138211382113821,0.0862068965517242,0.196616082330368,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",22,6
Merri-bek,House/townhouse,3,52,50,7,12,1,7.5,17.5,24.9,0.134615384615385,0.0588235294117647,0.215686274509804,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",23,7
Wyndham,House/townhouse,3,62,56,7,16,0.25,6,12,21.9,0.112903225806452,0.0483870967741936,0.17741935483871,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",27,8
Stonnington,House/townhouse,3,66,56,7,16,1,3,11,21.5,0.106060606060606,0.0428571428571429,0.171976902173913,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",28,9
Casey,House/townhouse,3,54,48,4,9,1,3,8.75,17,0.0740740740740741,0.0192307692307692,0.135676304420073,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",33,10
Monash,House/townhouse,3,57,43,2,16,0,4,9,15.8,0.0350877192982456,0,0.08,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",34,11
Bayside,House/townhouse,3,57,47,1,17,0,2,4,10.4,0.0175438596491228,0,0.0555555555555556,"Standard entire homes, 1-3 bedrooms, price AUD30-1500, segment n>=50",22,"Host-cluster percentile bootstrap, 1000 draws, pointwise 90%",35,12
